CS profile #,Date,Depth [m],Depth from DP [m],Dist from end [m],Dist from DP [m],Corr dist [m],Velocity [m/s],Discharge [m3/s],,d_t = w_t/R
32,7/27/2016 7:00,0.185,0,1.47,-0.2,0.1,0.2302,0.0085,,0
32,7/27/2016 7:00,0.185,0,1.67,0,0.3,0.2787,0.0103,,-0.06
32,7/27/2016 7:00,0.125,0.06,1.87,0.2,0.5,0.2569,0.0064,,-0.09
32,7/27/2016 7:00,0.035,0.15,2.07,0.4,0.7,0,0,,-0.035
32,7/27/2016 7:00,0,0.185,2.17,0.5,0.8,0,0,,0
33,7/27/2016 8:00,0,0.26,0,-1.65,-1.65,0,0,,0.02
33,7/27/2016 8:00,0.02,0.24,0.05,-1.6,-1.6,0,0,,0.12
33,7/27/2016 8:00,0.14,0.12,0.25,-1.4,-1.4,0.1044,0.0029,,-0.05
33,7/27/2016 8:00,0.09,0.17,0.45,-1.2,-1.2,0.2311,0.0042,,0.04
33,7/27/2016 8:00,0.13,0.13,0.65,-1,-1,0.2893,0.0075,,0.03
33,7/27/2016 8:00,0.16,0.1,0.85,-0.8,-0.8,0.3529,0.0113,,0.05
33,7/27/2016 8:00,0.21,0.05,1.05,-0.6,-0.6,0.4089,0.0172,,0.03
33,7/27/2016 8:00,0.24,0.02,1.25,-0.4,-0.4,0.4431,0.0213,,0.01
33,7/27/2016 8:00,0.25,0.01,1.45,-0.2,-0.2,0.4236,0.0212,,0.01
33,7/27/2016 8:00,0.26,0,1.65,0,0,0.404,0.021,,-0.01
33,7/27/2016 8:00,0.25,0.01,1.85,0.2,0.2,0.3618,0.0181,,-0.1
33,7/27/2016 8:00,0.15,0.11,2.05,0.4,0.4,0.2547,0.0076,,-0.095
33,7/27/2016 8:00,0.055,0.205,2.25,0.6,0.6,0.1222,0.0013,,-0.035
33,7/27/2016 8:00,0.02,0.24,2.45,0.8,0.8,0,0,,-0.02
33,7/27/2016 8:00,0,0.26,2.48,0.83,0.83,0,0,,0
34,7/27/2016 9:10,0,0.31,0,-1.67,-1.67,0,0,,0.055
34,7/27/2016 9:10,0.055,0.255,0.07,-1.6,-1.6,0,0,,0.1
34,7/27/2016 9:10,0.155,0.155,0.27,-1.4,-1.4,0.1502,0.0047,,-0.025
34,7/27/2016 9:10,0.13,0.18,0.47,-1.2,-1.2,0.328,0.0085,,0.035
34,7/27/2016 9:10,0.165,0.145,0.67,-1,-1,0.4116,0.0136,,0.035
34,7/27/2016 9:10,0.2,0.11,0.87,-0.8,-0.8,0.5089,0.0204,,0.065
34,7/27/2016 9:10,0.265,0.045,1.07,-0.6,-0.6,0.5462,0.0289,,0.01
34,7/27/2016 9:10,0.275,0.035,1.27,-0.4,-0.4,0.5218,0.0287,,0.03
34,7/27/2016 9:10,0.305,0.005,1.47,-0.2,-0.2,0.4933,0.0301,,0.005
34,7/27/2016 9:10,0.31,0,1.67,0,0,0.4702,0.0292,,-0.005
34,7/27/2016 9:10,0.305,0.005,1.87,0.2,0.2,0.3964,0.0242,,-0.085
34,7/27/2016 9:10,0.22,0.09,2.07,0.4,0.4,0.3258,0.0143,,-0.09
34,7/27/2016 9:10,0.13,0.18,2.27,0.6,0.6,0.2773,0.0072,,-0.06
34,7/27/2016 9:10,0.07,0.24,2.47,0.8,0.8,0.1729,0.0035,,-0.07
34,7/27/2016 9:10,0,0.31,2.66,0.99,0.99,0,0,,0
35,7/27/2016 10:10,0,0.335,0,-1.87,-1.8,0,0,,0.1
35,7/27/2016 10:10,0.1,0.235,0.075,-1.8,-1.6,0.1013,0.0018,,0.09
35,7/27/2016 10:10,0.19,0.145,0.275,-1.6,-1.4,0.1929,0.0073,,-0.02
35,7/27/2016 10:10,0.17,0.165,0.475,-1.4,-1.2,0.4716,0.016,,0.05
35,7/27/2016 10:10,0.22,0.115,0.675,-1.2,-1,0.5031,0.0221,,0.045
35,7/27/2016 10:10,0.265,0.07,0.875,-1,-0.8,0.6858,0.0363,,0.045
35,7/27/2016 10:10,0.31,0.025,1.075,-0.8,-0.6,0.5764,0.0357,,0.01
35,7/27/2016 10:10,0.32,0.015,1.275,-0.6,-0.4,0.4862,0.0311,,0.01
35,7/27/2016 10:10,0.33,0.005,1.475,-0.4,-0.2,0.5622,0.0371,,0.005
35,7/27/2016 10:10,0.335,0,1.675,-0.2,0,0.5564,0.0373,,0
35,7/27/2016 10:10,0.335,0,1.875,0,0.2,0.5036,0.0337,,-0.095
35,7/27/2016 10:10,0.24,0.095,2.075,0.2,0.4,0.3644,0.0175,,-0.095
35,7/27/2016 10:10,0.145,0.19,2.275,0.4,0.6,0.3071,0.0089,,-0.03
35,7/27/2016 10:10,0.115,0.22,2.475,0.6,0.8,0.2,0.0068,,-0.115
35,7/27/2016 10:10,0,0.335,2.67,0.8,0.9,0,0,,0
36,7/27/2016 11:05,0,0.4,0,-1.7,-1.7,0,0,,0.16
36,7/27/2016 11:05,0.16,0.24,0.1,-1.6,-1.6,0.2244,0.0072,,0.04
36,7/27/2016 11:05,0.2,0.2,0.3,-1.4,-1.4,0.3831,0.0153,,0.04
36,7/27/2016 11:05,0.24,0.16,0.5,-1.2,-1.2,0.3987,0.0191,,0.05
36,7/27/2016 11:05,0.29,0.11,0.7,-1,-1,0.5053,0.0293,,0.04
36,7/27/2016 11:05,0.33,0.07,0.9,-0.8,-0.8,0.6098,0.0402,,0.04
36,7/27/2016 11:05,0.37,0.03,1.1,-0.6,-0.6,0.5707,0.0422,,0.03
36,7/27/2016 11:05,0.4,0,1.3,-0.4,-0.4,0.4271,0.0342,,0
36,7/27/2016 11:05,0.4,0,1.5,-0.2,-0.2,0.5307,0.0425,,0
36,7/27/2016 11:05,0.4,0,1.7,0,0,0.5489,0.0439,,-0.02
36,7/27/2016 11:05,0.38,0.02,1.9,0.2,0.2,0.5764,0.0438,,-0.095
36,7/27/2016 11:05,0.285,0.115,2.1,0.4,0.4,0.4627,0.0264,,-0.085
36,7/27/2016 11:05,0.2,0.2,2.3,0.6,0.6,0.3516,0.0141,,-0.08
36,7/27/2016 11:05,0.12,0.28,2.5,0.8,0.8,0.2564,0.0062,,-0.02
36,7/27/2016 11:05,0.1,0.3,2.7,1,1,0.2204,0.0062,,-0.1
36,7/27/2016 11:05,0,0.4,2.88,1.18,1.18,0,0,,0
37,7/27/2016 12:10,0,0.445,0,-1.52,-1.7,0,0,,0.21
37,7/27/2016 12:10,0.21,0.235,0.12,-1.4,-1.52,0.3031,0.014,,0.11
37,7/27/2016 12:10,0.32,0.125,0.32,-1.2,-1.4,0.48,0.0307,,-0.04
37,7/27/2016 12:10,0.28,0.165,0.52,-1,-1.2,0.6707,0.0376,,0.04
37,7/27/2016 12:10,0.32,0.125,0.72,-0.8,-1,0.648,0.0415,,0.03
37,7/27/2016 12:10,0.35,0.095,0.92,-0.6,-0.8,0.6284,0.044,,0.05
37,7/27/2016 12:10,0.4,0.045,1.12,-0.4,-0.6,0.7124,0.057,,0.005
37,7/27/2016 12:10,0.405,0.04,1.32,-0.2,-0.4,0.6764,0.0548,,0.04
37,7/27/2016 12:10,0.445,0,1.52,0,-0.2,0.6169,0.0549,,-0.005
37,7/27/2016 12:10,0.44,0.005,1.72,0.2,0,0.6658,0.0586,,-0.015
37,7/27/2016 12:10,0.425,0.02,1.92,0.4,0.2,0.6027,0.0512,,-0.095
37,7/27/2016 12:10,0.33,0.115,2.12,0.6,0.4,0.5004,0.033,,-0.08
37,7/27/2016 12:10,0.25,0.195,2.32,0.8,0.6,0.4169,0.0208,,-0.05
37,7/27/2016 12:10,0.2,0.245,2.52,1,0.8,0.2822,0.0113,,-0.075
37,7/27/2016 12:10,0.125,0.32,2.72,1.2,1,0.1991,0.0075,,-0.125
37,7/27/2016 12:10,0,0.445,2.92,1.4,1.2,0,0,,0
38,7/27/2016 13:15,0,0.445,0,-1.55,-1.75,0,0,,0.21
38,7/27/2016 13:15,0.21,0.235,0.15,-1.4,-1.55,0.3987,0.0209,,0.11
38,7/27/2016 13:15,0.32,0.125,0.35,-1.2,-1.4,0.4049,0.0259,,-0.04
38,7/27/2016 13:15,0.28,0.165,0.55,-1,-1.2,0.5373,0.0301,,0.04
38,7/27/2016 13:15,0.32,0.125,0.75,-0.8,-1,0.5889,0.0377,,0.03
38,7/27/2016 13:15,0.35,0.095,0.95,-0.6,-0.8,0.516,0.0361,,0.05
38,7/27/2016 13:15,0.4,0.045,1.15,-0.4,-0.6,0.5809,0.0465,,0.005
38,7/27/2016 13:15,0.405,0.04,1.35,-0.2,-0.4,0.5653,0.0458,,0.04
38,7/27/2016 13:15,0.445,0,1.55,0,-0.2,0.5987,0.0533,,-0.005
38,7/27/2016 13:15,0.44,0.005,1.75,0.2,0,0.64,0.0521,,-0.015
38,7/27/2016 13:15,0.425,0.02,1.92,0.37,0.2,0.5987,0.0509,,-0.095
38,7/27/2016 13:15,0.33,0.115,2.15,0.6,0.37,0.5107,0.0362,,-0.08
38,7/27/2016 13:15,0.25,0.195,2.35,0.8,0.6,0.3453,0.0173,,-0.05
38,7/27/2016 13:15,0.2,0.245,2.55,1,0.8,0.3253,0.013,,-0.075
38,7/27/2016 13:15,0.125,0.32,2.75,1.2,1,0.1716,0.006,,-0.125
38,7/27/2016 13:15,0,0.445,2.93,1.38,1.2,0,0,,0
39,7/27/2016 14:10,0,0.5,0,-1.73,-1.73,0,0,,0.25
39,7/27/2016 14:10,0.25,0.25,0.13,-1.6,-1.6,0.404,0.0232,,0.1
39,7/27/2016 14:10,0.35,0.15,0.33,-1.4,-1.4,0.6236,0.0436,,-0.02
39,7/27/2016 14:10,0.33,0.17,0.53,-1.2,-1.2,0.6511,0.043,,0.05
39,7/27/2016 14:10,0.38,0.12,0.73,-1,-1,0.6404,0.0487,,0.035
39,7/27/2016 14:10,0.415,0.085,0.93,-0.8,-0.8,0.7044,0.0585,,0.035
39,7/27/2016 14:10,0.45,0.05,1.13,-0.6,-0.6,0.6449,0.058,,0.015
39,7/27/2016 14:10,0.465,0.035,1.33,-0.4,-0.4,0.6693,0.0622,,0.025
39,7/27/2016 14:10,0.49,0.01,1.53,-0.2,-0.2,0.6791,0.0666,,0.01
39,7/27/2016 14:10,0.5,0,1.73,0,0,0.6431,0.0643,,-0.035
39,7/27/2016 14:10,0.465,0.035,1.93,0.2,0.2,0.6413,0.0596,,-0.115
39,7/27/2016 14:10,0.35,0.15,2.13,0.4,0.4,0.4493,0.0315,,-0.06
39,7/27/2016 14:10,0.29,0.21,2.33,0.6,0.6,0.4027,0.0234,,-0.04
39,7/27/2016 14:10,0.25,0.25,2.53,0.8,0.8,0.2938,0.0147,,-0.08
39,7/27/2016 14:10,0.17,0.33,2.73,1,1,0.1653,0.0084,,-0.17
39,7/27/2016 14:10,0,0.5,2.93,1.2,1.2,0,0,,0
40,7/27/2016 15:10,0,0.505,0,-1.69,-1.69,0,0,,0.21
40,7/27/2016 15:10,0.21,0.295,0.09,-1.6,-1.6,0.3382,0.0135,,0.125
40,7/27/2016 15:10,0.335,0.17,0.29,-1.4,-1.4,0.5267,0.0353,,-0.005
40,7/27/2016 15:10,0.33,0.175,0.49,-1.2,-1.2,0.6818,0.045,,0.06
40,7/27/2016 15:10,0.39,0.115,0.69,-1,-1,0.7458,0.0582,,0.03
40,7/27/2016 15:10,0.42,0.085,0.89,-0.8,-0.8,0.7729,0.0649,,0.045
40,7/27/2016 15:10,0.465,0.04,1.09,-0.6,-0.6,0.7187,0.0668,,0.015
40,7/27/2016 15:10,0.48,0.025,1.29,-0.4,-0.4,0.6653,0.0639,,0.02
40,7/27/2016 15:10,0.5,0.005,1.49,-0.2,-0.2,0.6613,0.0661,,0.005
40,7/27/2016 15:10,0.505,0,1.69,0,0,0.6333,0.064,,-0.01
40,7/27/2016 15:10,0.495,0.01,1.89,0.2,0.2,0.5587,0.0553,,-0.105
40,7/27/2016 15:10,0.39,0.115,2.09,0.4,0.4,0.5364,0.0418,,-0.08
40,7/27/2016 15:10,0.31,0.195,2.29,0.6,0.6,0.46,0.0285,,-0.045
40,7/27/2016 15:10,0.265,0.24,2.49,0.8,0.8,0.3942,0.0209,,-0.075
40,7/27/2016 15:10,0.19,0.315,2.69,1,1,0.2773,0.0105,,-0.08
40,7/27/2016 15:10,0.11,0.395,2.89,1.2,1.2,0.0556,0.0015,,-0.11
40,7/27/2016 15:10,0,0.505,3.03,1.34,1.34,0,0,,0
41,7/27/2016 16:10,0,0.51,0,-1.71,-1.71,0,0,,0.255
41,7/27/2016 16:10,0.255,0.255,0.11,-1.6,-1.6,0.3898,0.0209,,0.11
41,7/27/2016 16:10,0.365,0.145,0.31,-1.4,-1.4,0.5516,0.0403,,-0.035
41,7/27/2016 16:10,0.33,0.18,0.51,-1.2,-1.2,0.624,0.0412,,0.05
41,7/27/2016 16:10,0.38,0.13,0.71,-1,-1,0.5449,0.0414,,0.035
41,7/27/2016 16:10,0.415,0.095,0.91,-0.8,-0.8,0.6582,0.0546,,0.035
41,7/27/2016 16:10,0.45,0.06,1.11,-0.6,-0.6,0.6396,0.0576,,0.035
41,7/27/2016 16:10,0.485,0.025,1.31,-0.4,-0.4,0.5724,0.0555,,0.015
41,7/27/2016 16:10,0.5,0.01,1.51,-0.2,-0.2,0.5484,0.0548,,0.01
41,7/27/2016 16:10,0.51,0,1.71,0,0,0.552,0.0563,,-0.01
41,7/27/2016 16:10,0.5,0.01,1.91,0.2,0.2,0.5467,0.0547,,-0.1
41,7/27/2016 16:10,0.4,0.11,2.11,0.4,0.4,0.4791,0.0383,,-0.09
41,7/27/2016 16:10,0.31,0.2,2.31,0.6,0.6,0.3938,0.0244,,-0.07
41,7/27/2016 16:10,0.24,0.27,2.51,0.8,0.8,0.312,0.015,,-0.055
41,7/27/2016 16:10,0.185,0.325,2.71,1,1,0.2124,0.0079,,-0.055
41,7/27/2016 16:10,0.13,0.38,2.91,1.2,1.2,0.1729,0.0036,,-0.13
41,7/27/2016 16:10,0,0.51,2.97,1.26,1.26,0,0,,0
42,7/27/2016 17:30,0,0.485,0,-1.71,-1.71,0,0,,0.225
42,7/27/2016 17:30,0.225,0.26,0.11,-1.6,-1.6,0.3516,0.0166,,0.105
42,7/27/2016 17:30,0.33,0.155,0.31,-1.4,-1.4,0.4413,0.0291,,-0.015
42,7/27/2016 17:30,0.315,0.17,0.51,-1.2,-1.2,0.6364,0.0401,,0.05
42,7/27/2016 17:30,0.365,0.12,0.71,-1,-1,0.6778,0.0495,,0.03
42,7/27/2016 17:30,0.395,0.09,0.91,-0.8,-0.8,0.6947,0.0549,,0.055
42,7/27/2016 17:30,0.45,0.035,1.11,-0.6,-0.6,0.6987,0.0629,,0
42,7/27/2016 17:30,0.45,0.035,1.31,-0.4,-0.4,0.66,0.0594,,0.025
42,7/27/2016 17:30,0.475,0.01,1.51,-0.2,-0.2,0.6231,0.0592,,0.01
42,7/27/2016 17:30,0.485,0,1.71,0,0,0.6356,0.0616,,-0.01
42,7/27/2016 17:30,0.475,0.01,1.91,0.2,0.2,0.5831,0.0554,,-0.08
42,7/27/2016 17:30,0.395,0.09,2.11,0.4,0.4,0.5187,0.041,,-0.09
42,7/27/2016 17:30,0.305,0.18,2.31,0.6,0.6,0.4204,0.0256,,-0.07
42,7/27/2016 17:30,0.235,0.25,2.51,0.8,0.8,0.4013,0.0189,,-0.085
42,7/27/2016 17:30,0.15,0.335,2.71,1,1,0.2476,0.0074,,-0.05
42,7/27/2016 17:30,0.1,0.385,2.91,1.2,1.2,0.0133,0.0003,,-0.1
42,7/27/2016 17:30,0,0.485,3.03,1.32,1.32,0,0,,0
43,8/4/2016 13:30,0,0.41,0,-0.59,-1.4,0,0,,0.04
43,8/4/2016 13:30,0.04,0.37,0.19,-0.4,-1.2,0.0613,0.0007,,0.315
43,8/4/2016 13:30,0.355,0.055,0.39,-0.2,-1,0.172,0.0122,,0.055
43,8/4/2016 13:30,0.41,0,0.59,0,-0.8,0.396,0.0325,,-0.03
43,8/4/2016 13:30,0.38,0.03,0.79,0.2,-0.6,0.5298,0.0403,,-0.05
43,8/4/2016 13:30,0.33,0.08,0.99,0.4,-0.4,0.5396,0.0356,,0.04
43,8/4/2016 13:30,0.37,0.04,1.19,0.6,-0.2,0.4956,0.0367,,0
43,8/4/2016 13:30,0.37,0.04,1.39,0.8,0,0.548,0.0406,,0.005
43,8/4/2016 13:30,0.375,0.035,1.59,1,0.2,0.4644,0.0348,,-0.05
43,8/4/2016 13:30,0.325,0.085,1.79,1.2,0.4,0.4236,0.0275,,-0.01
43,8/4/2016 13:30,0.315,0.095,1.99,1.4,0.6,0.3427,0.0216,,-0.045
43,8/4/2016 13:30,0.27,0.14,2.19,1.6,0.8,0.2658,0.0144,,-0.02
43,8/4/2016 13:30,0.25,0.16,2.39,1.8,1,0.136,0.0068,,-0.11
43,8/4/2016 13:30,0.14,0.27,2.59,2,1.2,0.0293,0.0008,,-0.04
43,8/4/2016 13:30,0.1,0.31,2.79,2.2,1.4,0,0,,-0.1
43,8/4/2016 13:30,0,0.41,2.93,2.34,1.6,0,0,,0
44,8/4/2016 14:10,0,0.495,0,-1.18,-1.6,0,0,,0.165
44,8/4/2016 14:10,0.165,0.33,0.19,-0.99,-1.4,0.5267,0.0248,,0.125
44,8/4/2016 14:10,0.29,0.205,0.38,-0.8,-1.2,0.468,0.0265,,0.08
44,8/4/2016 14:10,0.37,0.125,0.58,-0.6,-0.99,0.4591,0.034,,0.04
44,8/4/2016 14:10,0.41,0.085,0.78,-0.4,-0.8,0.3662,0.03,,0.04
44,8/4/2016 14:10,0.45,0.045,0.98,-0.2,-0.6,0.368,0.0331,,0.045
44,8/4/2016 14:10,0.495,0,1.18,0,-0.4,0.42,0.0416,,-0.035
44,8/4/2016 14:10,0.46,0.035,1.38,0.2,-0.2,0.3724,0.0343,,-0.01
44,8/4/2016 14:10,0.45,0.045,1.58,0.4,0,0.3533,0.0318,,-0.025
44,8/4/2016 14:10,0.425,0.07,1.78,0.6,0.2,0.3769,0.032,,-0.005
44,8/4/2016 14:10,0.42,0.075,1.98,0.8,0.4,0.3467,0.0291,,-0.1
44,8/4/2016 14:10,0.32,0.175,2.18,1,0.6,0.3156,0.0202,,-0.055
44,8/4/2016 14:10,0.265,0.23,2.38,1.2,0.8,0.2796,0.0148,,-0.1
44,8/4/2016 14:10,0.165,0.33,2.58,1.4,1,0.2524,0.0083,,-0.049
44,8/4/2016 14:10,0.116,0.379,2.78,1.6,1.2,0.2196,0.0051,,-0.116
44,8/4/2016 14:10,0,0.495,2.88,1.7,1.3,0,0,,0
45,8/4/2016 15:20,0,0.39,0,-1.31,-1.51,0,0,,0.1
45,8/4/2016 15:20,0.1,0.29,0.17,-1.14,-1.31,0.2409,0.0058,,0.08
45,8/4/2016 15:20,0.18,0.21,0.31,-1,-1.14,0.4862,0.0149,,0.03
45,8/4/2016 15:20,0.21,0.18,0.51,-0.8,-1,0.4191,0.0176,,0.065
45,8/4/2016 15:20,0.275,0.115,0.71,-0.6,-0.8,0.516,0.0284,,0.075
45,8/4/2016 15:20,0.35,0.04,0.91,-0.4,-0.6,0.6036,0.0422,,0.035
45,8/4/2016 15:20,0.385,0.005,1.11,-0.2,-0.4,0.5356,0.0412,,0.005
45,8/4/2016 15:20,0.39,0,1.31,0,-0.2,0.5551,0.0433,,-0.01
45,8/4/2016 15:20,0.38,0.01,1.51,0.2,0,0.584,0.0444,,-0.065
45,8/4/2016 15:20,0.315,0.075,1.71,0.4,0.2,0.5191,0.0327,,-0.075
45,8/4/2016 15:20,0.24,0.15,1.91,0.6,0.4,0.3853,0.0185,,-0.05
45,8/4/2016 15:20,0.19,0.2,2.11,0.8,0.6,0.3036,0.0115,,-0.115
45,8/4/2016 15:20,0.075,0.315,2.31,1,0.8,0.3378,0.0051,,0.005
45,8/4/2016 15:20,0.08,0.31,2.51,1.2,1,0.1556,0.0025,,0
45,8/4/2016 15:20,0.08,0.31,2.71,1.4,1.2,0.008,0.0002,,-0.08
45,8/4/2016 15:20,0,0.39,2.85,1.54,1.34,0,0,,0
46,8/4/2016 17:00,0,0.45,0,-0.69,-1.5,0,0,,0.085
46,8/4/2016 17:00,0.085,0.365,0.09,-0.6,-1.4,0,0,,0.29
46,8/4/2016 17:00,0.375,0.075,0.29,-0.4,-1.2,0.208,0.0156,,0.06
46,8/4/2016 17:00,0.435,0.015,0.49,-0.2,-1,0.4231,0.0368,,0.015
46,8/4/2016 17:00,0.45,0,0.69,0,-0.8,0.5129,0.0462,,-0.05
46,8/4/2016 17:00,0.4,0.05,0.89,0.2,-0.6,0.5636,0.0451,,0.005
46,8/4/2016 17:00,0.405,0.045,1.09,0.4,-0.4,0.5551,0.045,,0.02
46,8/4/2016 17:00,0.425,0.025,1.29,0.6,-0.2,0.5827,0.0495,,-0.005
46,8/4/2016 17:00,0.42,0.03,1.49,0.8,0,0.5196,0.0436,,0
46,8/4/2016 17:00,0.42,0.03,1.69,1,0.2,0.4538,0.0381,,-0.01
46,8/4/2016 17:00,0.41,0.04,1.89,1.2,0.4,0.4578,0.0375,,-0.03
46,8/4/2016 17:00,0.38,0.07,2.09,1.4,0.6,0.3378,0.0257,,-0.075
46,8/4/2016 17:00,0.305,0.145,2.29,1.6,0.8,0.3142,0.0192,,-0.125
46,8/4/2016 17:00,0.18,0.27,2.49,1.8,1,0.2533,0.0091,,-0.06
46,8/4/2016 17:00,0.12,0.33,2.69,2,1.2,0.1418,0.0034,,-0.02
46,8/4/2016 17:00,0.1,0.35,2.89,2.2,1.4,0.0071,0.0002,,-0.1
46,8/4/2016 17:00,0,0.45,3.05,2.36,1.6,0,0,,0
